unix,ds,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount,Value
1.61076E+12,2021-01-16,BNB/USDT,40.8951,44.12,40.625,43.142,3243054.414,138015822.2,362622,42.3725
1.61084E+12,2021-01-17,BNB/USDT,43.1413,46.7228,40.9192,45.8675,3878914.299,169754085.7,445985,43.821
1.61093E+12,2021-01-18,BNB/USDT,45.8645,46.8888,44.0278,45.3412,3069449.938,139399114.2,366780,45.4583
1.61101E+12,2021-01-19,BNB/USDT,45.3592,47.2187,41.7,42.5241,5151546.872,229455474.2,513040,44.45935
1.6111E+12,2021-01-20,BNB/USDT,42.5241,43.0992,40.2,42.6069,3709936.492,154503844.3,424497,41.6496
1.61119E+12,2021-01-21,BNB/USDT,42.6056,42.7176,38.2,38.6343,3388587.657,137245296.2,428440,40.4588
1.61127E+12,2021-01-22,BNB/USDT,38.6596,41.528,36.8518,40.8936,3088685.295,122212901.8,382460,39.1899
1.61136E+12,2021-01-23,BNB/USDT,40.8938,41.88,39.4555,40.9109,2531809.648,103044289.6,244514,40.66775
1.61145E+12,2021-01-24,BNB/USDT,40.9113,42.2,40.3144,41.8263,2340747.623,97017133.6,217223,41.2572
1.61153E+12,2021-01-25,BNB/USDT,41.827,43.4241,40.5364,41.8347,2778238.02,117399838.4,336526,41.98025
1.61162E+12,2021-01-26,BNB/USDT,41.8347,42.598,39.6955,41.8396,2758108.622,113401083.8,336515,41.14675
1.61171E+12,2021-01-27,BNB/USDT,41.8397,42.0984,39.6102,40.8826,2638401.378,108149178.4,367923,40.8543
1.61179E+12,2021-01-28,BNB/USDT,40.8957,43.085,40.317,42.5254,2984098.651,125825473.7,366517,41.701
1.61188E+12,2021-01-29,BNB/USDT,42.5277,44,41.8017,42.8618,3433689.484,147364483.5,481047,42.90085
1.61196E+12,2021-01-30,BNB/USDT,42.8653,45.1071,42.5911,44.7849,2767954.291,121803577.4,408399,43.8491
1.61205E+12,2021-01-31,BNB/USDT,44.8022,45.8269,43.3,44.3292,2431692.198,107955886.2,356678,44.56345
